BTTR,MULN,VIVK,LINK,ABVC,CODA,NCPL,TGTX,COSM,OPXS,SPCB,BLFS,RCAT,TOMZ,MARA,BBY,BVFL,NVO,RSG
0,0,0,0,0,-0.10482916,0,-0.2,0,0.052631596,0,-0.071428563,0,0,0,0.001041862,0,0.000578545,0.001736488
0,0,0,-0.125000573,0,0.250000028,0,0,0,0,0,0,0,0,0,0.014055003,0,-0.001605827,-0.004160746
0,0,0,0,-0.833333348,-0.15789476,0,0,0,-0.099999821,0,-0.230769266,0,0,0,-0.006673156,0,0.022772493,-0.001740888
0,0,0,0.178571901,0,-0.062500047,0,0,0,-0.055555679,0,0.199999983,0.5,0,0,0.000516494,0,0.002390059,0.002092792
0,0,0,0,0,0.06666672,0,0,0,0,0,0.166666726,0,0.0666666,0,0.054235811,0,-0.007404015,0.005916957
0,0,0,0,0,-0.162499983,0,0,0,-0.058823544,0,-0.285714312,0,0,0,-0.006859678,0,-0.010873044,-0.003113832
0,0.5,0,-0.030302784,0,0.194029826,0,0,0,-0.249999934,0,0,0,0.437500058,0,-0.104094094,-0.025640943,0.003131655,-0.019438024
0,0,0,0,0,0.059999951,0,0,0,-0.166666784,0,0,0,0.086956502,0,-0.013766899,0,-0.008664512,-0.005663524
0,-0.2,0.078644053,0,1,-0.05660373,0,0,0,0,0,0,0,-0.319999993,0,-0.010608845,0,0.003727312,0.000355731
0,0,0,0,0,0,0,-0.016666651,0,0,0,0,0,0.176470593,0,0.016365759,0,0.002304976,-0.00925261
0,0.083333333,0,0,0,0,0,-0.067796625,0,-0.099999821,0,0,0,0.150000004,0,-0.038867372,0,-0.001021994,0
0,-0.461538462,0,0,0,0,0,0.018181801,0,0.333333255,0,0,0,0,0,0.032351192,0,-0.000959133,-0.004669467
0,0,0,0.043749387,0,0,0,-0.07857144,0,-0.249999956,0,0,0,0,0,-0.00055906,0,0.001984076,0
0,0,0,0,0,0,0,0.02713185,0,0.444444145,0,0.400000051,0,-0.260869571,0,0.019596579,-0.052631659,0.001277574,-0.003969551
0,0,0,0.005988341,0,0,0,-0.037735902,0,-0.230769225,0,0,0,0.05882356,0,-0.022515107,0,-0.003062178,0.001086919
0,0,0,0,0,-0.003749984,0,-0.019607825,0,0,0,0,-0.333333333,0.0555555,0,-0.00337065,0,0.00543966,0.000723826
0,0.428571429,0,0.071428609,0,-0.0012547,0,-0.011999989,0,0,0,0,0,0.210526353,0,0.01578351,0,-0.000254545,-0.00578668
0,0,0,0,0,0.060301457,0,-0.068825941,0,-0.099999821,0,-0.071428563,0,0.043478219,-0.009900999,-0.006104382,0,0.01050455,0.000363669
0,1.5,0,0,0,0,0,0,0,0.11111089,0,0.076923067,0,0,0,0.018425342,0.002777796,0.013293934,0.018909492
0,-0.2,0,0,3.850000004,-0.052132677,0,0,0,0,0.125,0,0.5,0,0,0.008854387,0.108033266,-0.00584465,0.012847865
0,-0.5,0,0.111110802,0,0,0,-0.02173911,0,0.400000127,0,0,0,0.04166669,-0.710000001,-0.002742655,0,-0.012758708,-0.005990266
0,0.9,0,-0.049999517,0.340206299,-0.202500021,0,0,0,0,0,0,0,0,2.44827588,0.022001997,0.25000003,0.006588634,0.000354472
0,0,0,-0.026316322,0,0.018808829,0,0,0,-0.357142787,0,0,0,0,0,0,0,-0.02882497,0.000708693
0,-0.052631579,0,0,0,0.461538467,0,0,0,0.11111089,-0.055555556,0,0,0.440000057,0,-0.013992993,0,0.009267091,0.021246326
0,-0.388888889,0,-0.027026719,-0.692307719,0.157894671,0,0.00444444,0,0,0,0,0,-0.1944445,0,0.014191576,-0.093999923,-0.014190533,-0.007974929
0,0,0,0,0,-0.05454545,0,-0.004424775,0,0,0,0,0,0,0,-0.033368839,0.002207413,0.002735647,-0.004544129
0,-0.090909091,0,0,-0.249999936,0.057692303,0,-0.00444444,0,-0.099999821,0,-0.071428563,0,0,0,-0.016703802,0,0.00857426,0.006320683
1,0.3,0,0.1666666,0,-0.136363587,0,0,0,0,0,0,-0.333333333,-0.13793101,0,0.015855073,0,0.000579485,-0.00488494
0,0.153846154,0,-0.095237836,0,-0.004210597,0,0.026785689,0,0.333333255,0,0,0,0,0,0.008361038,0.101321594,0.010685152,-0.010518994
0,0,0,0,0,-0.007399545,0,-0.02173911,0,-0.166666784,0,0.076923067,0,0,0,-0.015478131,0,0.012354913,-0.007441531
-0.5,0.2,0.00172851,0,-0.166666723,-0.159744439,0,0,0,0,0,0,0,0,0,-0.011229402,0,0.002956756,-0.000713664
0,0,-0.200000025,0,0,0,0,0.022222201,0,0,-0.941176471,-0.214285749,0,-0.160000026,0,-0.03861445,0,-0.001191625,-0.01036117
0,0,0,0,-0.200000014,-0.036755336,0,0,0,0,16,0,0,-0.095238078,0,0.038983732,0,-0.009231326,-0.011913209
0,-0.277777778,0,0,0,0.052631573,0,-0.02173911,0,0,0,0.181818245,0,0.31578949,0,-0.000568319,0,0.000950576,0.007185732
0,0.153846154,0,0,0,0,0,0,0,0,-0.176470588,0,0,0,0,-0.021615488,0,-0.000696327,0.00658683
0,0.2,0,0,0,0,-0.052631579,0,0,0,0.214285714,0.307692333,0,0,0,-0.012209509,0,0.005576106,-0.007997295
1,0.388888889,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001177218,0,0.014745745,0.004030492
0,33.80000057,0,0,0,-0.020000019,0,0,0,0,-0.058823529,-0.117647141,0,-0.040000021,0,0.046553015,0,6.23E-05,0.00292002
-0.5,-0.024137955,-0.642156847,0.052631044,0,0,0,0,0,0,0,-0.066666606,0,0.04166669,0,0.036036104,0,0.016082826,0.005094681
0,0.008245003,0.64383553,0,0,0,0,0.00444444,0,0,0,0,0,0,0,-0.020108887,0,0.010817245,0.00868942
0,0,0,0,0,-0.031887725,0,0,0,0,0,0,0,-0.040000021,0,-0.006655678,0,-0.00961319,0.001794388
0,0.038551394,0,0,0,-0.050065881,0,-0.004424775,0,0,-0.125,0,0,-0.083333318,0,-0.003908336,0,-0.014834232,-0.009673941
0,-0.002249703,0.120000048,0,0,-0.001386956,0,0,0,0,0.142857143,0,0,0,0,-0.002242118,0,-0.002726639,-0.002894149
0,-0.095828659,0,0,-0.399999974,-0.027777774,0,0,-0.74358975,0,-0.875,0.285714251,0,0,0,0.002247156,0,-0.006896909,0.003628273
0,-0.026184495,0,0,0.666666596,0,0,0,0,0,7,0.444444497,0,0,0,-0.01008953,0,0.006069115,0.005061528
0,0,0,0,-0.5,0.014285713,0,0,1.5,0,0,-0.230769266,0,-0.318181787,0,-0.010192718,0,0.025124089,0.008273472
0,-0.04097311,0,0,0,0,0,0,-0.4,0,0,0.250000021,0,0.2,0,0.007437418,0,0.013649653,-0.003211039
