BTTR,MULN,VIVK,ABVC,CODA,SPCB,LINK,QUBT,BLFS,HROW,BTCS,AYTU,MIGI,OGEN,IOVA,NTRP,TILE,CDE,ESSA,PETS
0,0,0,0,0.037499943,0,-0.045454815,0,0.222222201,0,0,0,-0.006711389,0.106870229,-0.203703704,0,-0.013745852,-0.073818343,-0.013371655,-0.021702659
0,-0.5,0,0,0.024096487,0,0,0,-0.272727252,0,0,0,0,-0.068965517,0.023255814,0,0.010452961,0.004013744,0.044530625,0.026450397
0,0,0,0,0.070588225,0,-0.047619258,-0.400000027,0,0,0,0,0,0.018518519,0.159090909,0.014705868,-0.019827163,-0.008566512,-0.01760879,-0.004987525
0,0,0,0,-0.098901132,0,0.050000232,0.428571493,0,0,0,0,0,-0.134545455,-0.019607843,0,0.018469464,-0.014976971,-0.007547283,-0.011695968
0,1.333333333,0,0,-0.024390241,0,0,0,0.37499996,0,0,0,0,-0.092436975,0,0.072463767,0.025043111,0.020467858,0.011406733,0.012679613
0,-0.5,0.016470595,0,-0.024999997,0,0,0,-0.272727252,0,-0.249999978,0,0,0,0,0.054054066,0.054760006,-0.029799452,0.008458762,-0.006677635
0,2.428571429,0,0,0.025641023,0,-0.095237836,0,0.124999987,0,0,0,0,0.134259259,-0.1,0.025641001,0.088657952,0.037211999,0.006523878,0.021848787
0,-0.666666667,0,0,0.249999973,0,0,0,-0.111111101,0,0,0,0,-0.085714286,0.111111111,0,0.001467377,-0.011958946,0.013888669,0.015625356
0,1.5,0,0,0.070000037,0,-0.052631797,-0.300000032,-0.124999987,0,0,0,0,0,-0.34,-0.012499988,0.007326058,0.047262229,0,-0.011336646
0,0,0.225694493,0,-0.018691587,0,0,0,0.428571376,0,0,0,-0.003378419,0.008928571,0,0,-0.000727171,-0.023665399,-0.012785174,0.001638188
0,0,0,0,-0.047619082,0,0,0.428571493,-0.199999983,0,0,0,0,0.084070796,0.484848485,0.075949354,-0.013100433,-0.045095786,-0.004625126,-0.004905962
0,0,0,0,0.000999996,0,0,0,0.249999973,0,0,0,0,0.020408163,0.020408163,0,-0.029498568,-0.017119298,0.000928923,-0.009860526
0,0,0,0,-0.000998997,0,0.055555798,-0.300000032,0.099999991,0.133333365,0,0,0,-0.004,0,0.082352919,-0.022036415,-0.052252247,0.000928616,-0.009128582
0,0,0,0,0.077000006,0,0,0,-0.090909084,-0.117647084,0,0,0,-0.036144578,0,0,0.00932368,-0.00316858,-0.002782821,0.004187561
0,0,0,0,-0.001857002,0,-0.105263688,0,0.099999991,0,0,0,0,-0.0625,0,0,-0.013086774,0.008900213,0.01395349,-0.031692314
0,-0.35,0,0,-0.088372104,0,0,0,0.090909084,0.133333365,0,-0.642857147,0,0.333333333,0,-0.239130419,0.015600648,-0.001260208,0.044036483,-0.009475009
0,0,0,0,0.020408161,0,0,0,0,0,0,0,0,-0.183333333,0,0.285714286,-0.010752793,0.005047314,-0.055360088,-0.008695919
0,0,0,0,0.175000006,0,0,0,0.416666779,-0.117647084,0,0,0,-0.020408163,0,-0.055555556,-0.006211206,-0.019460164,0.018604431,0.013158
0,0,0,0,-0.021276576,-0.2,0.000588508,0,-0.117647141,0.083333333,0,0,0,0,0.46,-0.176470588,0.016406659,-0.016645341,0.01187215,-0.024242253
0,0,-0.905571292,0,0.034782605,0,0,0,-0.066666606,0,0,0,0,0.041666667,0,0.371428626,0.003074126,0.021484371,-0.018050439,0.012422301
0,0,9.62499971,0,-0.042016838,0.666666667,0.005291043,0,-0.071428563,-0.030769201,0,0,0,0,0,0,-0.038314119,0.021669924,-0.040441405,-0.013146646
0,0,0,0,-0.035087717,0,0,0,0.076923067,0,0,0,-0.006779641,0,-0.178082192,0.031249919,-0.027091602,-0.032439204,-0.022988287,-0.143872072
0,-0.230769231,-0.898039221,0,0,0,-0.005848261,0,-0.214285749,0.079365077,0,0,0,0.004,0,-0.101010105,-0.036036317,-0.00193428,-0.002940708,-0.021784135
0,0,0,0,-0.045454503,0,0,0,-0.090909084,0,0,0,0,-0.087649402,0,-0.067415669,0.003399066,0.032299743,0,-0.007423084
0,0,0,0,-0.038095233,0,-0.058822966,-0.285714253,-0.099999991,0,0,1.800000034,0,-0.126637555,0.2,0.060240962,0.071125775,0.010638303,0.03933077,0
0,0,0,0,-0.039603955,0,0,0,0,-0.07352941,-0.333333353,0,0,0.25,-0.097222222,0.022727251,0.003162276,0.019814223,0.033112481,0.036324935
0,0.6,8.076923312,0,0.010309233,0,0,0,0,0,0.500000044,0,0,0,-0.076923077,0.08888891,0.0244284,0.017607828,-0.009157404,0.009278052
0,0,0,0,-0.132653006,0,0,0,0.555555598,0,0,0,0,0.04,0,0,0.019999945,-0.026849687,-0.023105368,-0.00714991
0,0,0,0,0.05647054,-0.2,0,0,-0.285714312,0.015873,0,0,0,0.134615385,0.3,-0.081632671,0.001508401,-0.028816636,-0.011352776,-0.012345449
0,0,0,0,-0.120267305,0,0,0,0,0,0,0,0,0.016949153,-0.576923077,0,-0.021837453,0.012626311,-0.006698452,-0.010416841
0,0,0,0,0.012658281,0,0,0,0,0,0,0,0,-0.033333333,1.272727273,0,0.052348149,0.005610863,0.052022782,0.013683948
0,0,0,0,0,0,0,0,0.30000006,0,0,0,-0.010238928,-0.051724138,0,-0.011111153,-0.002926166,0.080595239,-0.017399056,0.001038396
0,0,0,0,-0.037500049,0,0,0,0.076923067,0,0,0,0,0,0,0,0.005135704,0.055077399,-0.00186371,0.00726145
0,-0.375,0,0,0.006493589,0,0,0,-0.285714312,0,-0.111111177,0,0,0,-0.013333333,0.011235998,0.006215702,0.020119677,0.003734716,0.004119365
0,0,0,0,0.095483781,0,0,0,0.400000051,0,0,0,0,-0.018181818,0,-0.111111111,0.005087197,0.038912555,-0.003720819,0.01250018
0,0,0,0,-0.10482916,0,0,0,-0.071428563,0,0,0,0,-0.018518519,0,0,-0.029645682,0.023601898,-0.016807169,-0.007201708
0,0,0,0,0.250000028,0,-0.125000573,0,0,0.015624985,0,0,0,0,-0.324324324,0,-0.001490276,-0.007518873,-0.000949441,-0.004145114
0,0,0,-0.833333348,-0.15789476,0,0,0,-0.230769266,0,0,0,0,0,0.5,0,-0.002238633,-0.002525214,-0.013307874,0.003121987
0,0,0,0,-0.062500047,0,0.178571901,0,0.199999983,0,0,0,0,0,-0.506666667,0,0.018698542,0.013164569,0.00770713,0.011410603
0,0,0,0,0.06666672,0,0,0,0.166666726,0,0,0,0,0,0.378378378,0,0.01982387,0.050474773,0.006691818,0.001025929
0,0,0,0,-0.162499983,0,0,0,-0.285714312,0.230769231,0,0,0,-0.003773585,-0.117647059,0,0.000719887,0.000951497,0.000949895,0.016393092
0,0.5,0,0,0.194029826,0,-0.030302784,0,0,0,0,0,0,-0.041666667,0,0,0.005755327,0.0175855,-0.004743834,0.004032362
0,0,0,0,0.059999951,0,0,0,0,0,0,0,0,0,0,0,-0.013590917,0.017281683,-0.015252739,-0.024096388
0,-0.2,0.078644053,1,-0.05660373,0,0,0,0,0,0,0,0,0.177865613,0,0,-0.004351175,0.014692364,-0.012584593,0.008230384
0,0,0,0,0,0,0,0,0,0,0,0,0,0.006711409,0.333333333,0.200000048,-0.013109731,-0.005882401,-0.001960785,-0.016326326
0,0.083333333,0,0,0,0,0,0,0,0.0625,0,0,0,-0.05,-0.2,0,0.025830349,0.01183433,0.00687623,0.016597298
0,-0.461538462,0,0,0,0,0,0,0,0.470588235,0,0,0,0.052631579,0.145833333,-0.1666667,-0.005036185,-0.018443538,0.024390133,0.009183614
0,0,0,0,0,0,0.043749387,0,0,-0.24,0,0,0,-0.1,0.090909091,0,0.003615353,0.017415265,-0.001904535,0.008089049
0,0,0,0,0,0,0,0,0.400000051,0.063157935,0,0,0,0,0,0,0.007925064,-0.005855904,-0.020992255,0.032096226
0,0,0,0,0,0,0.005988341,0,0,-0.059405976,0,0,0,-0.159259259,-0.2,0,-0.025732551,-0.005437197,-0.009746938,-0.008746102
0,0,0,0,-0.003749984,0,0,0,0,0,0,0,0,0.101321586,0,-0.162500024,0.007336497,0.047380363,-0.00196874,0.007842671
0,0.428571429,0,0,-0.0012547,0,0.071428609,0,0,0.052631579,0,0,0,0,0,0.194029885,0.021850035,0.024358394,-0.007889315,-0.006809003
0,0,0,0,0.060301457,0,0,0,-0.071428563,0.010000038,0,0,0,-0.06,0,0.200000048,-0.023520855,0.005520215,0.017892532,0.005876775
0,1.5,0,0,0,0,0,0,0.076923067,0.019801961,0,0,0,-0.008510638,0,0,0.017518194,0.023648626,0.010742426,0.018500245
0,-0.2,0,3.850000004,-0.052132677,0.125,0,0,0,0.165048522,-0.75,0,0,0.008583691,0,0,0.005021584,0.031353145,-0.010628253,0.008604216
